時間,CO2(ppm),PM2.5(μg/m³)
2025-04-30 10:48:18,937.6,14.54
2025-04-30 10:48:56,941.6,14.58
2025-04-30 10:49:33,926.6,14.8
2025-04-30 10:50:10,893.6,14.58
2025-04-30 10:50:46,874.6,14.71
2025-04-30 10:51:23,886.6,14.97
2025-04-30 10:52:00,900.6,14.58
2025-04-30 10:52:37,890.6,14.77
2025-04-30 10:53:14,879.6,14.35
2025-04-30 10:53:51,872.6,14.8
2025-04-30 10:54:28,869.6,14.94
2025-04-30 10:55:05,867.6,15.77
2025-04-30 10:55:40,866.6,14.7
2025-04-30 10:56:17,867.6,14.56
2025-04-30 10:56:53,866.6,14.69
2025-04-30 10:57:30,864.6,15.08
2025-04-30 10:58:07,863.6,14.66
2025-04-30 10:58:44,862.6,14.12
2025-04-30 10:59:21,865.6,14.18
2025-04-30 10:59:58,866.6,15.26
2025-04-30 11:00:34,868.6,15.41
2025-04-30 11:01:11,868.6,13.98
2025-04-30 11:01:48,871.6,14.79
2025-04-30 11:02:25,875.6,14.6
2025-04-30 11:03:01,874.6,14.24
2025-04-30 11:03:38,874.6,14.91
2025-04-30 11:04:15,876.6,14.42
2025-04-30 11:04:52,874.6,14.37
2025-04-30 11:05:28,876.6,13.95
2025-04-30 11:06:05,876.6,15.29
2025-04-30 11:06:42,876.6,14.2
2025-04-30 11:07:19,878.6,15.18
2025-04-30 11:07:56,877.6,15.56
2025-04-30 11:08:33,877.6,15.34
2025-04-30 11:09:09,877.6,15.18
2025-04-30 11:09:46,878.6,15.61
2025-04-30 11:10:23,877.6,14.8
2025-04-30 11:11:00,877.6,15.51
2025-04-30 11:11:37,879.6,14.99
2025-04-30 11:12:13,877.6,15.61
2025-04-30 11:12:50,880.6,14.58
2025-04-30 11:13:27,876.6,14.5
2025-04-30 11:14:04,875.6,14.52
2025-04-30 11:14:41,875.6,15.24
2025-04-30 11:15:18,877.6,15.51
2025-04-30 11:15:55,880.6,15.45
2025-04-30 11:16:31,880.6,15.88
2025-04-30 11:17:08,881.6,15.09
2025-04-30 11:17:45,885.6,16.14
2025-04-30 11:18:22,886.6,15.56
2025-04-30 11:18:58,885.6,16.35
2025-04-30 11:19:35,884.6,15.45
2025-04-30 11:20:12,885.6,15.4
2025-04-30 11:20:49,887.6,15.56
2025-04-30 11:21:25,886.6,16.14
2025-04-30 11:22:02,887.6,15.29
2025-04-30 11:22:39,888.6,15.24
2025-04-30 11:23:16,885.6,14.75
2025-04-30 11:23:53,888.6,15.45
2025-04-30 11:24:29,888.6,15.02
2025-04-30 11:25:06,888.6,15.88
2025-04-30 11:25:45,888.6,14.97
2025-04-30 11:26:21,888.6,16.04
2025-04-30 11:26:58,888.6,16.87
2025-04-30 11:27:35,889.6,15.18
2025-04-30 11:28:12,888.6,16.92
2025-04-30 11:28:49,889.6,15.61
2025-04-30 11:29:26,888.6,16.25
2025-04-30 11:30:02,888.6,16.82
2025-04-30 11:30:39,888.6,17.23
2025-04-30 11:31:16,890.6,15.93
2025-04-30 11:31:53,890.6,16.77
2025-04-30 11:32:30,890.6,15.29
2025-04-30 11:33:06,890.6,15.45
2025-04-30 11:33:43,892.6,16.77
