時間,CO2 (ppm),PM2.5 (μg/m³)
2025-04-15 15:18:30,937,13.0
2025-04-15 15:17:57,937,14.2
2025-04-15 15:17:24,936,13.8
2025-04-15 15:16:51,927,13.3
2025-04-15 15:16:18,924,13.8
2025-04-15 15:15:45,924,14.0
2025-04-15 15:15:12,923,14.0
2025-04-15 15:14:39,924,13.6
2025-04-15 15:14:06,922,13.9
2025-04-15 15:13:32,923,14.0
2025-04-15 15:12:59,922,14.8
2025-04-15 15:12:25,919,14.5
2025-04-15 15:11:51,916,14.1
2025-04-15 15:11:18,916,13.2
2025-04-15 15:10:45,914,13.3
2025-04-15 15:10:11,913,13.5
2025-04-15 15:09:38,912,14.2
2025-04-15 15:09:04,911,14.1
2025-04-15 15:08:28,910,13.9
2025-04-15 15:07:55,909,13.9
2025-04-15 15:07:21,908,13.9
2025-04-15 15:06:48,909,14.2
2025-04-15 15:06:15,910,13.5
2025-04-15 15:05:41,910,14.3
2025-04-15 15:05:07,909,14.2
2025-04-15 15:04:34,909,13.8
2025-04-15 15:04:00,910,14.3
2025-04-15 15:03:27,910,13.7
2025-04-15 15:02:54,912,14.3
2025-04-15 15:02:21,912,13.6
2025-04-15 15:01:47,912,14.0
2025-04-15 15:01:13,912,13.6
2025-04-15 15:00:40,912,14.2
2025-04-15 15:00:07,912,14.6
2025-04-15 14:59:34,912,14.4
2025-04-15 14:59:01,912,13.9
2025-04-15 14:58:27,912,13.4
2025-04-15 14:57:54,912,14.5
2025-04-15 14:57:21,911,13.2
2025-04-15 14:56:48,911,14.3
2025-04-15 14:56:14,911,14.1
2025-04-15 14:55:41,910,14.2
2025-04-15 14:55:08,910,14.1
2025-04-15 14:54:35,908,13.8
2025-04-15 14:54:02,905,13.7
2025-04-15 14:53:29,903,14.0
2025-04-15 14:52:56,902,13.9
2025-04-15 14:52:22,901,14.0
2025-04-15 14:51:49,902,15.0
2025-04-15 14:51:16,903,14.3
2025-04-15 14:50:43,902,13.9
2025-04-15 14:50:10,903,14.0
2025-04-15 14:49:37,901,13.8
2025-04-15 14:49:04,901,14.0
2025-04-15 14:48:31,902,13.1
2025-04-15 14:47:58,901,14.1
2025-04-15 14:47:25,902,13.7
2025-04-15 14:46:51,904,14.1
2025-04-15 14:46:18,904,14.1
2025-04-15 14:45:45,906,13.1
2025-04-15 14:45:12,906,13.7
2025-04-15 14:44:38,906,14.5
2025-04-15 14:44:05,906,13.2
2025-04-15 14:43:32,906,14.6
2025-04-15 14:42:59,905,14.0
2025-04-15 14:42:25,905,14.5
2025-04-15 14:41:52,904,14.8
2025-04-15 14:41:18,905,13.8
2025-04-15 14:40:44,904,13.7
2025-04-15 14:40:11,904,14.1
2025-04-15 14:39:38,902,13.2
2025-04-15 14:39:04,901,14.3
2025-04-15 14:38:31,902,13.7
2025-04-15 14:37:58,902,13.6
2025-04-15 14:37:25,902,13.8
2025-04-15 14:36:52,903,13.4
2025-04-15 14:36:19,901,13.0
2025-04-15 14:35:46,901,13.4
2025-04-15 14:35:13,899,13.8
2025-04-15 14:34:40,898,13.8
2025-04-15 14:34:06,900,14.2
2025-04-15 14:33:33,901,14.1
2025-04-15 14:33:00,901,13.9
2025-04-15 14:32:27,901,13.7
2025-04-15 14:31:54,908,13.8
2025-04-15 14:31:20,910,14.2
2025-04-15 14:30:47,913,14.4
2025-04-15 14:30:14,920,13.9
2025-04-15 14:29:41,915,13.2
2025-04-15 14:29:08,895,13.5
2025-04-15 14:28:35,898,13.6
2025-04-15 14:28:02,902,13.9
2025-04-15 14:27:29,903,14.1
2025-04-15 14:26:56,904,14.4
2025-04-15 14:26:23,901,14.4
2025-04-15 14:25:50,902,14.0
2025-04-15 14:25:16,905,14.0
2025-04-15 14:24:42,904,13.5
2025-04-15 14:24:09,903,14.1
2025-04-15 14:23:36,902,13.3
2025-04-15 14:23:02,905,13.7
2025-04-15 14:22:28,905,13.6
2025-04-15 14:21:55,907,13.9
2025-04-15 14:21:22,907,14.7
2025-04-15 14:20:48,909,13.7
2025-04-15 14:20:15,910,13.8
2025-04-15 14:19:41,912,14.0
2025-04-15 14:19:07,915,13.7
2025-04-15 14:18:34,915,14.0
2025-04-15 14:18:00,914,14.1
2025-04-15 14:17:43,915,13.7
