時間,CO2 (ppm),PM2.5 (μg/m³)
2025-04-21 12:08:09,910,14.1
2025-04-21 12:07:33,909,14.8
2025-04-21 12:06:56,911,15.1
2025-04-21 12:06:14,915,14.9
2025-04-21 12:05:37,916,15.5
時間,PM2.5 (μg/m³),CO2 (ppm)
2025-04-21 12:05:12,15.53,531.5
2025-04-21 12:05:15,23.82,810.3
2025-04-21 12:05:22,21.59,729.1
2025-04-21 12:05:22,33.07,798.3
2025-04-21 12:05:23,28.63,756.0
2025-04-21 12:05:27,18.58,564.9
2025-04-21 12:05:34,35.04,976.2
2025-04-21 12:05:38,47.08,596.8
2025-04-21 12:05:38,35.15,695.7
2025-04-21 12:05:38,43.01,734.6
2025-04-21 12:05:53,35.8,609.7
2025-04-21 12:05:53,13.8,729.7
2025-04-21 12:05:53,39.03,931.8
2025-04-21 12:05:58,41.53,730.3
2025-04-21 12:06:05,19.04,870.1
2025-04-21 12:06:08,16.75,818.4
2025-04-21 12:06:10,34.42,984.9
2025-04-21 12:06:11,33.49,656.0
2025-04-21 12:06:12,18.41,715.9
2025-04-21 12:06:13,48.24,990.0
2025-04-21 12:06:18,19.91,692.4
2025-04-21 12:06:18,19.89,500.3
2025-04-21 12:06:18,11.01,863.2
2025-04-21 12:06:18,23.38,855.4
2025-04-21 12:06:28,41.73,811.8
2025-04-21 12:06:29,30.02,584.9
2025-04-21 12:06:29,33.8,681.9
2025-04-21 12:06:32,36.06,605.4
2025-04-21 12:06:39,35.88,806.9
2025-04-21 12:06:42,18.39,600.3
2025-04-21 12:06:44,43.57,721.0
2025-04-21 12:06:49,35.67,927.3
2025-04-21 12:06:51,17.23,438.5
2025-04-21 12:06:57,19.08,653.9
2025-04-21 12:07:02,19.81,748.5
2025-04-21 12:07:03,37.54,579.3
2025-04-21 12:07:04,29.83,610.9
2025-04-21 12:07:04,34.76,813.4
2025-04-21 12:07:10,12.81,646.2
2025-04-21 12:07:11,19.42,512.1
2025-04-21 12:07:12,39.91,403.1
2025-04-21 12:07:17,15.65,480.9
2025-04-21 12:07:18,31.19,560.0
2025-04-21 12:07:19,28.95,614.5
2025-04-21 12:07:24,31.7,562.5
2025-04-21 12:07:27,43.35,767.1
2025-04-21 12:07:32,47.07,476.3
2025-04-21 12:07:41,35.75,702.9
2025-04-21 12:07:43,44.43,834.3
2025-04-21 12:07:43,45.27,718.5
2025-04-21 12:07:44,41.6,722.4
2025-04-21 12:07:47,10.35,425.0
2025-04-21 12:07:49,38.79,908.7
2025-04-21 12:07:51,12.09,857.7
2025-04-21 12:07:52,37.37,716.7
2025-04-21 12:07:55,49.66,852.2
2025-04-21 12:07:55,46.78,519.9
2025-04-21 12:07:57,22.0,516.5
2025-04-21 12:08:02,45.73,790.6
2025-04-21 12:08:24,13.93,925.4
2025-04-21 12:08:24,20.58,890.4
2025-04-21 12:08:25,13.6,792.3
